小篆編號,楷書編號,字體編號,鍵盤字型,鍵盤字型(binary)
270,['692'],27.828B,芋,b'\xe8\x8a\x8b'
271,['2348'],27.8392,莒,b'\xe8\x8e\x92'
272,['12460'],27.8627,蘧,b'\xe8\x98\xa7'
273,['2798'],27.83CA,菊,b'\xe8\x8f\x8a'
274,['3210'],27.8477,葷,b'\xe8\x91\xb7'
275,['12453'],27.8618,蘘,b'\xe8\x98\x98'
276,['2787'],27.83C1,菁,b'\xe8\x8f\x81'
277,['5097'],27.8606,蘆,b'\xe8\x98\x86'
278,['2804'],27.83D4,菔,b'\xe8\x8f\x94'
279,['6546'],27.82F9,苹,b'\xe8\x8b\xb9'
280,['7052'],27.831E,茞,b'\xe8\x8c\x9e'
281,['46550'],27.E057,,b'\xee\x81\x97'
282,['4810'],27.85CD,藍,b'\xe8\x97\x8d'
283,['46681'],27.E058,,b'\xee\x81\x98'
283,['46459'],27.E059,,b'\xee\x81\x99'
283,['3212'],27.8431,萱,b'\xe8\x90\xb1'
284,['46114'],27.E05A,,b'\xee\x81\x9a'
284,['5776'],27.828E,芎,b'\xe8\x8a\x8e'
285,['11941'],27.85ED,藭,b'\xe8\x97\xad'
286,['5172'],27.862D,蘭,b'\xe8\x98\xad'
287,['8967'],27.844C,葌,b'\xe8\x91\x8c'
288,['8964'],27.8470,葰,b'\xe8\x91\xb0'
289,['5781'],27.8284,芄,b'\xe8\x8a\x84'
290,['12945'],27.8648,虈,b'\xe8\x99\x88'
291,['12766'],27.863A,蘺,b'\xe8\x98\xba'
292,['45649'],27.E05B,,b'\xee\x81\x9b'
293,['12454'],27.862A,蘪,b'\xe8\x98\xaa'
294,['4813'],27.85B0,薰,b'\xe8\x96\xb0'
295,['46351'],27.E05C,,b'\xee\x81\x9c'
296,['8965'],27.8439,萹,b'\xe8\x90\xb9'
297,['7030'],27.833F,茿,b'\xe8\x8c\xbf'
298,['46398'],27.E05D,,b'\xee\x81\x9d'
299,['6120'],27.829E,芞,b'\xe8\x8a\x9e'
300,['6566'],27.82FA,苺,b'\xe8\x8b\xba'
301,['7042'],27.8316,茖,b'\xe8\x8c\x96'
302,['45499'],27.E05E,,b'\xee\x81\x9e'
303,['6117'],27.82A7,芧,b'\xe8\x8a\xa7'
304,['11603'],27.85CE,藎,b'\xe8\x97\x8e'
305,['50847'],27.E05F,,b'\xee\x81\x9f'
306,['7637'],27.8375,荵,b'\xe8\x8d\xb5'
307,['2803'],27.8407,萇,b'\xe8\x90\x87'
308,['4626'],27.858A,薊,b'\xe8\x96\x8a'
309,['45675'],27.E060,,b'\xee\x81\xa0'
310,['11602'],27.85CB,藋,b'\xe8\x97\x8b'
311,['6123'],27.82A8,芨,b'\xe8\x8a\xa8'
312,['8934'],27.8465,葥,b'\xe8\x91\xa5'
313,['46378'],27.E061,,b'\xee\x81\xa1'
314,['10151'],27.84E9,蓩,b'\xe8\x93\xa9'
315,['46465'],27.E062,,b'\xee\x81\xa2'
316,['46836'],27.E063,,b'\xee\x81\xa3'
317,['45855'],27.E064,,b'\xee\x81\xa4'
318,['7041'],27.834D,荍,b'\xe8\x8d\x8d'
319,['45927'],27.E065,,b'\xee\x81\xa5'
320,['8962'],27.842D,萭,b'\xe8\x90\xad'
321,['7027'],27.8351,荑,b'\xe8\x8d\x91'
322,['4623'],27.859B,薛,b'\xe8\x96\x9b'
323,['1437'],27.82E6,苦,b'\xe8\x8b\xa6'
324,['2780'],27.83E9,菩,b'\xe8\x8f\xa9'
325,['46343'],27.E066,,b'\xee\x81\xa6'
326,['1434'],27.8305,茅,b'\xe8\x8c\x85'
327,['2785'],27.83C5,菅,b'\xe8\x8f\x85'
328,['12246'],27.8604,蘄,b'\xe8\x98\x84'
329,['2341'],27.839E,莞,b'\xe8\x8e\x9e'
330,['5096'],27.85FA,藺,b'\xe8\x97\xba'
331,['9579'],27.84A2,蒢,b'\xe8\x92\xa2'
332,['3638'],27.84B2,蒲,b'\xe8\x92\xb2'
333,['9578'],27.84BB,蒻,b'\xe8\x92\xbb'
334,['46235'],27.E067,,b'\xee\x81\xa7'
335,['10145'],27.84F7,蓷,b'\xe8\x93\xb7'
336,['8287'],27.8411,萑,b'\xe8\x90\x91'
337,['7028'],27.8325,茥,b'\xe8\x8c\xa5'
338,['7636'],27.8399,莙,b'\xe8\x8e\x99'
339,['46301'],27.E068,,b'\xee\x81\xa8'
340,['9573'],27.849A,蒚,b'\xe8\x92\x9a'
341,['6556'],27.82E1,苡,b'\xe8\x8b\xa1'
342,['10743'],27.8541,蕁,b'\xe8\x95\x81'
342,['46659'],27.E069,,b'\xee\x81\xa9'
343,['46493'],27.E06A,,b'\xee\x81\xaa'
344,['10143'],27.84F2,蓲,b'\xe8\x93\xb2'
345,['45797'],27.E06B,,b'\xee\x81\xab'
346,['46490'],27.E06C,,b'\xee\x81\xac'
347,['4967'],27.85F7,藷,b'\xe8\x97\xb7'
348,['3997'],27.8517,蔗,b'\xe8\x94\x97'
349,['46702'],27.E06D,,b'\xee\x81\xad'
350,['46584'],27.E06E,,b'\xee\x81\xae'
351,['45468'],27.E06F,,b'\xee\x81\xaf'
352,['8960'],27.842F,萯,b'\xe8\x90\xaf'
353,['6121'],27.82BA,芺,b'\xe8\x8a\xba'
354,['45867'],27.E070,,b'\xee\x81\xb0'
355,['46813'],27.E071,,b'\xee\x81\xb1'
356,['7639'],27.83A9,莩,b'\xe8\x8e\xa9'
357,['10128'],27.8529,蔩,b'\xe8\x94\xa9'
358,['7051'],27.8353,荓,b'\xe8\x8d\x93'
359,['10755'],27.8555,蕕,b'\xe8\x95\x95'
360,['7050'],27.834C,荌,b'\xe8\x8d\x8c'
361,['11600'],27.85C4,藄,b'\xe8\x97\x84'
362,['7641'],27.8383,莃,b'\xe8\x8e\x83'
363,['46489'],27.E072,,b'\xee\x81\xb2'
364,['10756'],27.8567,蕧,b'\xe8\x95\xa7'
365,['1450'],27.82D3,苓,b'\xe8\x8b\x93'
366,['46843'],27.E073,,b'\xee\x81\xb3'
367,['11954'],27.85D1,藑,b'\xe8\x97\x91'
368,['46362'],27.E074,,b'\xee\x81\xb4'
369,['8940'],27.844D,葍,b'\xe8\x91\x8d'
370,['10164'],27.84E8,蓨,b'\xe8\x93\xa8'
371,['6553'],27.82D6,苖,b'\xe8\x8b\x96'
372,['45924'],27.F0EC,,b'\xef\x83\xac'
373,['11224'],27.8581,薁,b'\xe8\x96\x81'
374,['8944'],27.8474,葴,b'\xe8\x91\xb4'
375,['46601'],27.E075,,b'\xee\x81\xb5'
375,['10153'],27.84FE,蓾,b'\xe8\x93\xbe'
376,['45917'],27.F0EB,,b'\xef\x83\xab'
377,['10159'],27.851E,蔞,b'\xe8\x94\x9e'
378,['11951'],27.85DF,藟,b'\xe8\x97\x9f'
379,['9565'],27.84AC,蒬,b'\xe8\x92\xac'
380,['7039'],27.8308,茈,b'\xe8\x8c\x88'
381,['46660'],27.E076,,b'\xee\x81\xb6'
382,['8951'],27.8434,萴,b'\xe8\x90\xb4'
383,['3644'],27.8490,蒐,b'\xe8\x92\x90'
384,['7033'],27.831C,茜,b'\xe8\x8c\x9c'
385,['11212'],27.857C,蕼,b'\xe8\x95\xbc'
386,['4619'],27.859C,薜,b'\xe8\x96\x9c'
387,['7626'],27.83A3,莣,b'\xe8\x8e\xa3'
388,['1449'],27.82DE,苞,b'\xe8\x8b\x9e'
389,['444'],27.827E,艾,b'\xe8\x89\xbe'
