楷書編號(網址),小篆編號,筆畫
2089,1253,8
22642,1261,8
869,1264,8
2953,1429,8
2953,1429,8
19835,1444,8
19835,1444,8
923,1451,8
1045,1456,8
6106,1462,8
24097,1503,8
24087,1569,8
6138,1575,8
821,1738,8
60,1746,8
60,1746,8
816,1747,8
39038,1752,8
23477,1755,8
484,1759,8
484,1759,8
484,1759,8
1219,1761,8
758,1762,8
30800,1880,8
1053,1895,8
22550,1907,8
1040,1909,8
782,1914,8
782,1914,8
781,1916,8
108,1919,8
108,1919,8
776,1922,8
729,1924,8
729,1924,8
131,1925,8
131,1925,8
54649,1936,8
41786,1939,8
6005,1948,8
35757,1951,8
20580,1964,8
274,1978,8
274,1978,8
274,1978,8
6083,1980,8
5968,2004,8
20688,2026,8
1015,2058,8
2152,2062,8
2152,2062,8
2152,2062,8
777,2065,8
20425,2071,8
266,2072,8
266,2072,8
19960,2079,8
6086,2104,8
6085,2124,8
1033,2186,8
1049,2218,8
1101,2268,8
727,2315,8
1048,2322,8
6516,2326,8
6516,2326,8
1047,2345,8
1047,2345,8
945,2358,8
931,2476,8
22461,2492,8
22461,2492,8
22461,2492,8
929,2501,8
783,2507,8
1012,2509,8
6010,2522,8
971,2522,8
30630,2546,8
487,2555,8
34840,2584,8
1055,2588,8
1050,2594,8
1058,2602,8
1056,2612,8
1056,2612,8
34883,2622,8
1054,2624,8
1052,2630,8
34843,2648,8
34885,2653,8
1057,2661,8
34845,2667,8
34842,2712,8
34882,2714,8
1051,2721,8
21960,2731,8
489,2738,8
489,2738,8
1081,2740,8
763,2751,8
5828,2757,8
318,2758,8
490,2761,8
765,2770,8
768,2771,8
5827,2773,8
769,2782,8
769,2782,8
5826,2785,8
319,2787,8
764,2791,8
766,2792,8
759,3001,8
759,3001,8
759,3001,8
759,3001,8
760,3005,8
760,3005,8
6079,3007,8
5984,3028,8
5984,3028,8
6013,3030,8
20423,3033,8
20423,3033,8
20436,3034,8
817,3040,8
233,3054,8
233,3054,8
391,3055,8
391,3055,8
698,3078,8
698,3078,8
1079,3100,8
1079,3100,8
1079,3100,8
1032,3121,8
44103,3154,8
780,3160,8
24081,3167,8
579,3170,8
1103,3171,8
1103,3171,8
32084,3175,8
5830,3177,8
1501,3187,8
34860,3190,8
749,3254,8
749,3254,8
1062,3256,8
5833,3270,8
39443,3297,8
1035,3298,8
5865,3305,8
733,3312,8
732,3314,8
732,3314,8
21544,3323,8
742,3329,8
5875,3347,8
27435,3351,8
26685,3353,8
29120,3401,8
6353,3402,8
5990,3451,8
5990,3451,8
29131,3459,8
953,3462,8
947,3486,8
5989,3509,8
5997,3523,8
960,3526,8
950,3549,8
954,3552,8
963,3555,8
29108,3559,8
966,3564,8
959,3573,8
5988,3575,8
967,3596,8
951,3597,8
5986,3615,8
37594,3659,8
948,3660,8
29079,3668,8
952,3675,8
962,3680,8
5722,3682,8
964,3691,8
965,3707,8
6000,3754,8
6004,3756,8
29123,3761,8
1091,3773,8
29083,3774,8
961,3789,8
6003,3800,8
949,3826,8
955,3828,8
5858,3899,8
