字體編號,楷書字體編號,楷書字型
27.82DB,0.82DB,苛
27.856A,0.856A,蕪
27.8589,0.8589,薉
27.8352,0.8352,荒
27.E09E,5.E6B3,𦺝
27.E09F,5.E498,𦱊
27.843D,0.843D,落
27.853D,0.853D,蔽
27.8600,0.8600,蘀
27.8580,0.8580,薀
27.852B,0.852B,蔫
27.83F8,0.83F8,菸
27.E0A0,5.E764,𦾵
27.8521,0.8521,蔡
27.8337,0.8337,茷
27.83DC,0.83DC,菜
27.834B,0.834B,荋
27.E0A1,5.E33E,䒦
27.8584,0.8584,薄
27.82D1,0.82D1,苑
27.85EA,0.85EA,藪
27.83D1,0.83D1,菑
27.F053,0.F053,
27.E0A2,5.E837,𧄎
27.8599,0.8599,薙
27.E0A3,5.E3A0,䒹
27.E0A4,5.E4F0,𦳙
27.852A,0.852A,蔪
27.E0A5,5.E781,𧀵
27.8300,0.8300,茀
27.82FE,0.82FE,苾
27.850E,0.850E,蔎
27.82B3,0.82B3,芳
27.8561,0.8561,蕡
27.85E5,0.85E5,藥
27.E0A6,5.E844,䕻
27.84C6,0.84C6,蓆
27.829F,0.829F,芟
27.8350,0.8350,荐
27.85C9,0.85C9,藉
27.84A9,0.84A9,蒩
27.855D,0.855D,蕝
27.8328,0.8328,茨
27.847A,0.847A,葺
27.84CB,0.84CB,蓋
27.82EB,0.82EB,苫
27.E0A7,5.E6A8,䔽
27.E0A8,5.E4BD,䓛
27.85E9,0.85E9,藩
27.83F9,0.83F9,菹
27.E0A9,5.E712,𦼬
27.E0AA,5.E7CD,𧂚
27.8343,0.8343,荃
27.E0AB,5.E661,䔯
27.E0AC,5.E4AF,䓜
27.E0AD,4.E382,𥁼
27.E0AE,5.E7BB,䕩
27.E0B0,5.E7A5,𧀪
27.E0B1,5.E868,𧅙
27.E0B2,5.E5B9,䔂
27.82E5,0.82E5,若
27.84F4,0.84F4,蓴
27.E0B3,5.E387,𦭮
27.E0B4,5.E69F,䔿
27.E0B5,5.E412,莜
27.8406,0.8406,萆
27.E0B6,5.E4F6,𦳚
27.82F4,0.82F4,苴
27.E0B7,5.E897,𧆓
27.8562,0.8562,蕢
27.F4CE,0.F4CE,㬰
27.E0B8,5.E43D,𦯈
27.8335,0.8335,茵
27.E0B9,6.EF24,鞇
27.82BB,0.82BB,芻
27.832D,0.832D,茭
27.E0BA,5.E3FD,荹
27.8339,0.8339,茹
27.839D,0.839D,莝
27.840E,0.840E,萎
27.84DB,0.84DB,蓛
27.E0BB,5.E39A,䒼
27.851F,0.851F,蔟
27.82E3,0.82E3,苣
27.8558,0.8558,蕘
27.85AA,0.85AA,薪
27.84B8,0.84B8,蒸
27.E0BC,5.E3CA,䒱
27.8549,0.8549,蕉
27.E0BD,5.E507,𦳊
27.85B6,0.85B6,薶
27.8460,0.8460,葠
27.EE61,0.6298,折
27.EDFC,0.6298,折
27.6298,0.6298,折
27.5349,0.5349,卉
27.827D,0.827D,艽
27.849C,0.849C,蒜
27.82A5,0.82A5,芥
27.8525,0.8525,蔥
27.84AE,0.84AE,蒮
27.8547,0.8547,蕇
27.82DF,0.82DF,苟
27.8568,0.8568,蕨
27.838E,0.838E,莎
27.84F1,0.84F1,蓱
27.84F3,0.84F3,蓳
27.83F2,0.83F2,菲
27.82B4,0.82B4,芴
27.E0BF,5.E87A,䕿
27.E0C0,5.E68D,𦻃
27.8466,0.8466,葦
27.846D,0.846D,葭
27.840A,0.840A,萊
27.8354,0.8354,荔
27.8499,0.8499,蒙
27.E0C1,5.E769,薻
27.85FB,0.85FB,藻
27.83C9,0.83C9,菉
27.E0C2,5.E5E2,蓸
27.E0C3,5.E573,𦵵
27.83EC,0.83EC,菬
27.E0C4,5.E3EA,䓊
27.8303,0.8303,范
27.827F,0.827F,艿
27.E0C5,5.E3AB,䒸
27.8404,0.8404,萄
27.8291,0.8291,芑
27.85DA,0.85DA,藚
27.82F3,0.82F3,苳
27.8594,0.8594,薔
27.82D5,0.82D5,苕
27.E0C6,5.E6D5,𦼪
27.843A,0.843A,萺
27.8306,0.8306,茆
27.837C,0.837C,荼
27.8629,0.8629,蘩
27.84BF,0.84BF,蒿
27.84EC,0.84EC,蓬
27.EF07,0.EF07,莑
27.85DC,0.85DC,藜
27.862C,0.862C,蘬
27.8446,0.8446,葆
27.8543,0.8543,蕃
27.8338,0.8338,茸
27.E0C9,5.E53B,葏
27.E0CA,5.E82A,䕺
27.8349,0.8349,草
27.83C6,0.83C6,菆
27.84C4,0.84C4,蓄
27.6625,0.6625,春
27.E0CB,5.E4A3,𦱄
27.83FF,0.83FF,菿
27.8299,0.8299,芙
27.84C9,0.84C9,蓉
27.85B3,0.85B3,薳
27.8340,0.8340,荀
27.838B,0.838B,莋
27.84C0,0.84C0,蓀
27.852C,0.852C,蔬
27.828A,0.828A,芊
27.8317,0.8317,茗
27.858C,0.858C,薌
27.85CF,0.85CF,藏
27.8546,0.8546,蕆
27.8638,0.8638,蘸
27.84D0,0.84D0,蓐
27.E0CC,0.84D0,蓐
27.8585,0.8585,薅
27.E0CD,5.E5C7,𦵢
27.8320,0.8320,茠
27.833B,0.833B,茻
27.83AB,0.83AB,莫
27.83BD,0.83BD,莽
27.846C,0.846C,葬
27.5C0F,0.5C0F,小
27.5C11,0.5C11,少
27.5C10,0.5C10,尐
27.516B,0.516B,八
27.5206,0.5206,分
27.5C12,0.5C12,尒
27.66FE,0.66FE,曾
27.5C1A,0.5C1A,尚
27.F5A7,0.F5A7,㒸
27.8A79,0.8A79,詹
27.4ECB,0.4ECB,介
27.EDF2,0.EDF2,𠔁
27.516C,0.516C,公
27.5FC5,0.5FC5,必
27.4F59,0.4F59,余
27.E0CE,1.E4E2,𠎳
27.91C6,0.91C6,釆
27.F1FD,0.91C6,釆
27.756A,0.756A,番
27.E0CF,5.F4E8,𨆌
27.F311,0.756A,番
27.F127,0.F127,宷
27.5BE9,0.5BE9,審
27.6089,0.6089,悉
27.E0D0,3.F243,𢚊
