小篆編號,楷書編號,字體編號,鍵盤字型,鍵盤字型(binary),小篆部件,楷書部件
154,['3547'],27.7463,瑣,b'\xe7\x91\xa3',八玉貝,小玉貝
155,['28843'],27.E029,,b'\xee\x80\xa9',,田雨金
156,['8784'],27.7440,瑀,b'\xe7\x91\x80',九玉﹤∩,玉禹
157,['6068'],27.73A4,玤,b'\xe7\x8e\xa4',土屮玉】,丰玉
158,['28687'],27.E02A,,b'\xee\x80\xaa',,
159,['28914'],27.E02B,,b'\xee\x80\xab',一一十人入大土口﹍﹌≠,一十土口戈金
160,['8134'],27.741A,琚,b'\xe7\x90\x9a',十口尸玉,十口尸玉
161,['28890'],27.E02C,,b'\xee\x80\xac',,一一人口网金
162,['669'],27.7396,玖,b'\xe7\x8e\x96',久玉,久玉
163,['28728'],27.E02D,,b'\xee\x80\xad',,木世艸金
164,['28747'],27.E02E,,b'\xee\x80\xae',一一一入入大土目≠,儿干土网金
165,['28735'],27.E02F,,b'\xee\x80\xaf',,口金
166,['10025'],27.7485,璅,b'\xe7\x92\x85',屮玉｛︻,川玉果
167,['10623'],27.74A1,璡,b'\xe7\x92\xa1',彳止戶戶玉隹,玉隹
168,['28923'],27.E031,,b'\xee\x80\xb1',一入土虍豕≠,虍豕金
169,['10023'],27.7481,璁,b'\xe7\x92\x81',心玉囪,一囗心玉
170,['28955'],27.E032,,b'\xee\x80\xb2',一入土屮屮屮貝≠,十廾貝金
171,['28975'],27.E033,,b'\xee\x80\xb3',,土羊金
172,['28857'],27.E034,,b'\xee\x80\xb4',,
173,['29009'],27.E035,,b'\xee\x80\xb5',,心金音
174,['28717'],27.E036,,b'\xee\x80\xb6',,爪心金
175,['28781'],27.E037,,b'\xee\x80\xb7',,
176,['11530'],27.74B6,璶,b'\xe7\x92\xb6',一又火玉皿「,火玉皿聿
177,['28803'],27.E038,,b'\xee\x80\xb8',,
178,['28864'],27.E039,,b'\xee\x80\xb9',,
179,['8788'],27.7442,瑂,b'\xe7\x91\x82',玉目﹖,玉网
180,['10621'],27.7492,璒,b'\xe7\x92\x92',囗止止玉⊙,玉豆
181,['28658'],27.E03B,,b'\xee\x80\xbb',,木火火金
182,['5757'],27.7397,玗,b'\xe7\x8e\x97',一玉,于玉
183,['28691'],27.E03C,,b'\xee\x80\xbc',,一儿干寸丘金
184,['8787'],27.744E,瑎,b'\xe7\x91\x8e',瑎 = 人人玉,比玉白
185,['3566'],27.78A7,碧,b'\xe7\xa2\xa7',一一厂入玉〞,玉石白
186,['2704'],27.7428,琨,b'\xe7\x90\xa8',一人人囗玉,比日玉
186,['28913'],27.E03E,,b'\xee\x80\xbe',,金爾
187,['28721'],27.E03F,,b'\xee\x80\xbf',,土皿艸金
188,['3546'],27.7464,瑤,b'\xe7\x91\xa4',玉肉缶,月玉缶
189,['1757'],27.73E0,珠,b'\xe7\x8f\xa0',一屮玉｛,一玉未
190,['5758'],27.7393,玓,b'\xe7\x8e\x93',勺玉,一玉
191,['11891'],27.74C5,瓅,b'\xe7\x93\x85',玉樂,木玉白
192,['6070'],27.73AD,玭,b'\xe7\x8e\xad',人人玉,比玉
192,['12251'],27.8819,蠙,b'\xe8\xa0\x99',丏虫貝,一止虫貝
193,['28749'],27.E040,,b'\xee\x81\x80',一入又土隹≠,又艸隹金
194,['6893'],27.73E7,珧,b'\xe7\x8f\xa7',玉兆,儿玉
195,['1024'],27.739F,玟,b'\xe7\x8e\x9f',文玉,文玉
196,['3549'],27.7470,瑰,b'\xe7\x91\xb0',人玉“,玉鬼
197,['4265'],27.74A3,璣,b'\xe7\x92\xa3',人玉﹍﹌,人戈玉
198,['2254'],27.7405,琅,b'\xe7\x90\x85',入囗玉︴↘,一玉艮
199,['5756'],27.7395,玕,b'\xe7\x8e\x95',一入玉,干玉
199,['28767'],27.E041,,b'\xee\x81\x81',一一一十人入土川車≠,一工川車金
200,['1351'],27.73CA,珊,b'\xe7\x8f\x8a',刀玉冊,玉冊
201,['3114'],27.745A,瑚,b'\xe7\x91\x9a',十口玉肉,十口月玉
202,['6460'],27.73CB,珋,b'\xe7\x8f\x8b',玉,一匕玉
203,['7493'],27.7400,琀,b'\xe7\x90\x80',一入口玉,一人口玉
204,['28978'],27.E042,,b'\xee\x81\x82',,一止貝金
205,['11092'],27.7497,璗,b'\xe7\x92\x97',一一囗水勿玉,一一一日水玉
206,['29007'],27.E043,,b'\xee\x81\x83',,
206,['5345'],27.9748,靈,b'\xe9\x9d\x88',巫雨℅,人人工口口口雨
207,['6447'],27.73C8,珈,b'\xe7\x8f\x88',力口玉,力口玉
208,['4542'],27.74A9,璩,b'\xe7\x92\xa9',玉虍豕,玉虍豕
209,['8133'],27.7416,琖,b'\xe7\x90\x96',玉﹍﹍﹌﹌,戈戈玉
210,['2702'],27.741B,琛,b'\xe7\x90\x9b',八水火玉求,儿木玉
211,['11094'],27.74AB,璫,b'\xe7\x92\xab',八口玉田,小口玉田
212,['8143'],27.7432,琲,b'\xe7\x90\xb2',玉非,玉非
213,['6446'],27.73C2,珂,b'\xe7\x8f\x82',口玉,一口玉
214,['28669'],27.E044,,b'\xee\x81\x84',,
215,['6900'],27.73DD,珝,b'\xe7\x8f\x9d',玉羽,玉羽
216,['3927'],27.7480,璀,b'\xe7\x92\x80',山玉隹,山玉隹
217,['4545'],27.74A8,璨,b'\xe7\x92\xa8',又玉米,又歹玉米
218,['8135'],27.7421,琡,b'\xe7\x90\xa1',又玉,一卜又小玉
219,['8778'],27.7444,瑄,b'\xe7\x91\x84',一一玉,二日玉
220,['6889'],27.73D9,珙,b'\xe7\x8f\x99',十十又玉,儿玉
221,['1023'],27.73A8,玨,b'\xe7\x8e\xa8',玉玉,玉玉
221,['35801'],27.E045,,b'\xee\x81\x85',,一心皿金
222,['1754'],27.73ED,班,b'\xe7\x8f\xad',刀玉玉,刀玉玉
223,['28891'],27.E046,,b'\xee\x81\x86',,而雨金
224,['5435'],27.6C14,气,b'\xe6\xb0\x94',气,气
225,['973'],27.6C1B,氛,b'\xe6\xb0\x9b',八刀气,儿刀气
